,Resturant,City,State,Date,Dave Score,Fan Score,Number of OneBite Reviews,Yelp Stars,Number of Yelp Reviews,Location,Links,Latitude,Longitude
0,Dicey's Tavern,Nashville, TN,22,7.7,0.0,1,4.5,85,"425 Chestnut St, Nashville, TN",https://onebite.app/restaurant/diceys-tavern-nashville-tn-308b6715,36.1440689,-86.76803799999999
1,Manny's House of Pizza,Nashville, TN,2,7.9,8.0,54,4.5,180,"15 Arcade Building, Nashville, TN",https://onebite.app/restaurant/mannys-house-of-pizza-nashville-tn-3edd5b88,36.1626638,-86.7816016
2,Nicky's Coal Fired,Nashville, TN,3,7.6,7.4,23,4,260,"5026 Centennial Blvd, Nashville, TN",https://onebite.app/restaurant/nickys-coal-fired-nashville-tn-935b3dfe,36.162462,-86.84871299999999
3,Midnight Oil,Nashville, TN,4,6.4,8.1,32,4.5,72,"1312 51st Ave N, Nashville, TN",https://onebite.app/restaurant/midnight-oil-nashville-tn-4a72c8b8,36.1617837,-86.84909139999999
4,Krust ,Tavernier, FL,5,7.7,0.0,1,5,11,"91865 Overseas Hwy, Tavernier, FL",https://onebite.app/restaurant/krust-tavernier-fl-84644abd,25.009054,-80.51702689999999
5,No Name Pub,Big Pine Key, FL,1/20/23,3.8,0.0,1,3.5,623,"30813 Watson Blvd, Big Pine Key, FL",https://onebite.app/restaurant/no-name-pub-big-pine-key-fl-6a13c9d5,24.6981564,-81.35122609999999
6,Coast to Coast Pizza Company,Marathon, FL,1/19/23,7.7,9.1,6,4,15,"61 53rd St, Marathon, FL",https://onebite.app/restaurant/coast-to-coast-pizza-company-marathon-fl-8e17ea6b,24.7149204,-81.0770611
7,Enrico's Pizza Islamorada,Tavernier, FL,1/18/23,6.7,7.2,16,4,139,"20 High Point Rd, Tavernier, FL",https://onebite.app/restaurant/enricos-pizza-islamorada-tavernier-fl-a4e8e4d3,24.9805696,-80.5494658
8,Pedroso's Pizza,Austin, TX,1/16/23,7.7,8.4,24,5,112,"8315 Burnet Rd, Austin, TX",https://onebite.app/restaurant/pedrosos-pizza-austin-tx-1f7a38c9,30.3639017,-97.7283884
9,Sammataro,Austin, TX,1/13/23,7.9,8.5,24,4.5,61,"1108 E 12th st., Austin, TX",https://onebite.app/restaurant/sammataro-austin-tx-e160f487,30.2726561,-97.7282259
10,Via 313 Pizza,Austin, TX,1/12/23,7.5,7.8,36,4.5,470,"96 Rainey St, Austin, TX",https://onebite.app/restaurant/via-313-pizza-austin-tx-707209ef,30.2608129,-97.7382116
11,Squared Up Pizza,Tucson, AZ,1/11/23,7.6,7.8,6,4.5,27,"5870 E Broadway Blvd, Tucson, AZ",https://onebite.app/restaurant/squared-up-pizza-tucson-az-d44dfe1b,32.2192052,-110.8653504
12,Via Della Slice Shop,Phoenix, AZ,1/10/23,7.9,8.5,27,4.5,82,"222 N 5th Ave, Phoenix, AZ",https://onebite.app/restaurant/via-della-slice-shop-phoenix-az-1436cdcc,33.4509649,-112.080425
13,Frank Pepes of Plantation,Plantation, FL,1/9/23,7.2,7.5,4,3.5,80,"341 N University Dr, Plantation, FL",https://onebite.app/restaurant/frank-pepes-of-plantation-plantation-fl-3c156d96,26.1259068,-80.2572047
14,Goodfella's Pizza,Jupiter, FL,1/6/23,7.5,7.8,28,4,57,"103 US-1, Jupiter, FL",https://onebite.app/restaurant/goodfellas-pizza-jupiter-fl-67ff0c6c,26.9325552,-80.0774735
15,Vinny's Pizza,Jupiter, FL,1/5/23,7.3,7.4,18,4,140,"6671 W Indiantown Rd, Jupiter, FL",https://onebite.app/restaurant/vinnys-pizza-jupiter-fl-3ba29a35,26.9358673,-80.1355104
16,Blue Springs Pizza,Orange City, FL,1/5/23,6.8,7.4,8,3.5,84,"501 N Volusia Ave, Orange City, FL",https://onebite.app/restaurant/blue-springs-pizza-orange-city-fl-d184800d,28.9524502,-81.2991282
17,The Drexel,Miami Beach, FL,1/3/23,6.8,0.0,1,4.5,31,"1436 Drexel Ave, Miami Beach, FL",https://onebite.app/restaurant/the-drexel-miami-beach-fl-4c66552f,25.7868328,-80.1331226
18,Toppers Pizza Place,Camarillo, CA,1/2/23,6.6,7.5,15,4,495,"425 Arneill Rd, Camarillo, CA",https://onebite.app/restaurant/toppers-pizza-place-camarillo-ca-5c5d9ff7,34.2213824,-119.0393048
19,Tony's Pizza Bros,Camarillo, CA,12/29/22,7.1,7.3,2,4,49,"31 N Lewis Rd, Camarillo, CA",https://onebite.app/restaurant/tonys-pizza-bros-camarillo-ca-81e70ced,34.216495,-119.034786
20,Jeff's Pizza,East Providence, RI,12/27/22,8.1,8.2,34,4.5,93,"127 Waterman Ave, East Providence, RI",https://onebite.app/restaurant/jeffs-pizza-east-providence-ri-d279cdaf,41.8234395,-71.37415
21,Pizza Marvin,Providence, RI,12/26/22,8.2,8.3,22,4.5,84,"468 Wickenden St, Providence, RI",https://onebite.app/restaurant/pizza-marvin-providence-ri-69039999,41.8204224,-71.3938256
22,Pizza J,Providence, RI,12/23/22,6.8,8.0,34,4,290,"967 Westminster St, Providence, RI",https://onebite.app/restaurant/pizza-j-providence-ri-cef5024a,41.8175975,-71.4244092
