,title,view_count,like_count,comment_count,published,duration,video_id
0,"Barstool Pizza Review - No Name Pub (Big Pine Key, FL)",182246,4929,574,2023-1-20,175.0,8TidCfOIruk
1,"Barstool Pizza Review - Coast To Coast Pizza Company (Marathon, FL)",194036,5743,549,2023-1-19,185.0,5PRP9O2dPRE
2,"Barstool Pizza Review - Enrico’s Pizza (Tavernier, FL)",210309,4961,665,2023-1-18,214.0,uN8O_p9KYiQ
3,"Barstool Pizza Review - The Pizza Slice (Key Largo, FL)",187891,5707,948,2023-1-17,131.0,f-Te38Zi6tY
4,"Barstool Pizza Review - Pedroso's Pizza The Trailer (Austin, TX)",228351,5639,610,2023-1-16,252.0,5vvOeVX3Euc
5,"Barstool Pizza Review - Sammataro (Austin, TX) Bonus Taco Review",284267,8284,1213,2023-1-13,383.0,bz3CQmHYD-w
6,"Barstool Pizza Review - Via 313 Pizza (Austin, TX)",247659,5847,704,2023-1-12,178.0,-YuPXpb5OJo
7,"Barstool Pizza Review - Squared Up Pizza (Tucson, AZ)",204149,8070,1374,2023-1-11,631.0,ypOdvDoelNg
8,"Barstool Pizza Review - Via Della Slice Shop (Phoenix, AZ)",260164,6858,742,2023-1-10,201.0,e7LMVRsBVes
9,"Barstool Pizza Review - Frank Pepe Pizzeria Napoletana (Plantation, FL)",244267,6089,954,2023-1-9,227.0,pNoAnz4Pz48
10,Dave Portnoy Reviews Pizza With Wild Montauk Crew,148655,4200,85,2023-1-6,58.0,Ls0vSI6vokk
11,"Barstool Pizza Review - Goodfella's Pizza (Jupiter, FL)",286282,6525,672,2023-1-6,257.0,-xSUtMNgM5Q
12,"Barstool Pizza Review - Vinny's Pizza (Jupiter, FL)",203090,5256,488,2023-1-5,147.0,bok-uHa1ob4
13,"Barstool Pizza Review - Blue Springs Pizza (Orange City, FL)",200447,5790,1180,2023-1-4,227.0,U8Vfs93oqlA
14,"Barstool Pizza Review - The Drexel (Miami Beach, FL)",185881,4739,514,2023-1-3,119.0,TWYc6ZYJEjQ
15,"Barstool Pizza Review - Toppers Pizza (Camarillo, CA)",213051,5237,836,2023-1-2,155.0,qDyN9FTASUs
16,"Barstool Pizza Review - Tony's Pizza Bro's (Camarillo, CA)",190489,4839,1130,2022-12-29,173.0,haBWtiDzueQ
17,"Barstool Pizza Review - Hotline Pizza (Providence, RI)",300826,7669,1478,2022-12-28,274.0,CE4J_KHG24w
18,"Barstool Pizza Review - Jeff's Pizza (East Providence, RI)",297288,8423,706,2022-12-27,260.0,WUVs7CD4yDA
19,"Barstool Pizza Review - Pizza Marvin (Providence, RI)",237279,6626,631,2022-12-26,233.0,DTGJqPY50Pc
20,"Barstool Pizza Review - Pizza J (Providence, RI) presented by Rhoback",211620,4886,639,2022-12-23,201.0,TlC6AhImBM0
21,"Barstool Pizza Review - Nellie's Place (Waldwick, NJ) Bonus Wing Review",258412,7188,872,2022-12-22,381.0,y6zqjELyeCI
22,"Barstool Pizza Review - Nanuet Restaurant (Nanuet, NY)",155580,4002,519,2022-12-21,187.0,_5EAX6Ry0Us
23,"Barstool Pizza Review - Nanuet Hotel & Restaurant (Nanuet, NY)",185706,5179,1473,2022-12-20,395.0,C3jL4bFVPHQ
24,"Barstool Pizza Review - Casaletto Pizzeria (Sleepy Hollow, NY) presented by Curve",193615,4925,430,2022-12-19,158.0,ydy8KYZf4O8
25,"Barstool Pizza Review - Beekman Ale House (Sleepy Hollow, NY)",226777,6126,808,2022-12-16,268.0,FFUb5J7wpHI
26,"Barstool Pizza Review - Norcina (New City, NY) presented by Rhoback",270303,6409,927,2022-12-15,253.0,pXRNk9HQrIA
